2026-05-12 16:59:05,847 - DEBUG - CACHEDIR=C:\Users\ayala\AppData\Local\Temp\tmpi2m9hfl3
2026-05-12 16:59:05,847 - DEBUG - font search path [WindowsPath('C:/Users/ayala/Documents Thesis/GUI_v5/app/dist/GUI_v5_Base_de_Conocimiento/_internal/matplotlib/mpl-data/fonts/ttf'), WindowsPath('C:/Users/ayala/Documents Thesis/GUI_v5/app/dist/GUI_v5_Base_de_Conocimiento/_internal/matplotlib/mpl-data/fonts/afm'), WindowsPath('C:/Users/ayala/Documents Thesis/GUI_v5/app/dist/GUI_v5_Base_de_Conocimiento/_internal/matplotlib/mpl-data/fonts/pdfcorefonts')]
2026-05-12 16:59:08,055 - INFO - generated new fontManager
2026-05-12 16:59:22,884 - DEBUG - Creating converter from 7 to 5
2026-05-12 16:59:22,884 - DEBUG - Creating converter from 5 to 7
2026-05-12 16:59:22,884 - DEBUG - Creating converter from 7 to 5
2026-05-12 16:59:22,884 - DEBUG - Creating converter from 5 to 7
2026-05-12 16:59:26,943 - INFO - Live monitoring Qss/scss/defaultStyle.scss file for changes
2026-05-12 16:59:26,943 - ERROR - Error: Qss/scss/defaultStyle.scss file not found
2026-05-12 16:59:27,674 - DEBUG - Loaded backend qtagg version 6.10.0.
2026-05-12 16:59:27,904 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\MSUIGHUR.TTF', name='Microsoft Uighur', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-05-12 16:59:27,904 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\LiberationMono-Bold.ttf', name='Liberation Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-05-12 16:59:27,904 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\TCB_____.TTF', name='Tw Cen MT', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-05-12 16:59:27,904 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\PRISTINA.TTF', name='Pristina', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-05-12 16:59:27,904 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\CALIFB.TTF', name='Californian FB', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-05-12 16:59:27,904 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\consolab.ttf', name='Consolas', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-05-12 16:59:27,904 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\malgunsl.ttf', name='Malgun Gothic', style='normal', variant='normal', weight=300, stretch='normal', size='scalable')) = 10.145
2026-05-12 16:59:27,904 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\isoct___.ttf', name='ISOCT', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-05-12 16:59:27,904 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\arialbd.ttf', name='Arial', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-05-12 16:59:27,905 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\swissli.ttf', name='Swis721 Lt BT', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
